episode_reward,cumulative_steps
151.0,300
157.0,600
159.0,900
175.0,1200
154.0,1500
163.0,1800
151.0,2100
158.0,2400
156.0,2700
141.0,3000
159.0,3300
141.0,3600
158.0,3900
144.0,4200
149.0,4500
156.0,4800
150.0,5100
163.0,5400
156.0,5700
137.0,6000
149.0,6300
171.0,6600
154.0,6900
140.0,7200
133.0,7500
160.0,7800
126.0,8100
159.0,8400
155.0,8700
158.0,9000
151.0,9300
153.0,9600
150.0,9900
161.0,10200
157.0,10500
150.0,10800
170.0,11100
150.0,11400
151.0,11700
155.0,12000
147.0,12300
144.0,12600
151.0,12900
145.0,13200
150.0,13500
152.0,13800
147.0,14100
148.0,14400
134.0,14700
148.0,15000
150.0,15300
163.0,15600
143.0,15900
144.0,16200
164.0,16500
146.0,16800
156.0,17100
132.0,17400
146.0,17700
150.0,18000
148.0,18300
163.0,18600
159.0,18900
156.0,19200
147.0,19500
149.0,19800
160.0,20100
149.0,20400
150.0,20700
143.0,21000
162.0,21300
143.0,21600
158.0,21900
150.0,22200
147.0,22500
168.0,22800
145.0,23100
158.0,23400
161.0,23700
149.0,24000
157.0,24300
145.0,24600
149.0,24900
147.0,25200
140.0,25500
161.0,25800
154.0,26100
150.0,26400
150.0,26700
146.0,27000
138.0,27300
143.0,27600
147.0,27900
145.0,28200
148.0,28500
131.0,28800
151.0,29100
147.0,29400
142.0,29700
154.0,30000
156.0,30300
160.0,30600
149.0,30900
150.0,31200
159.0,31500
153.0,31800
153.0,32100
152.0,32400
151.0,32700
139.0,33000
141.0,33300
167.0,33600
151.0,33900
152.0,34200
161.0,34500
158.0,34800
153.0,35100
154.0,35400
149.0,35700
160.0,36000
155.0,36300
163.0,36600
136.0,36900
148.0,37200
156.0,37500
151.0,37800
143.0,38100
159.0,38400
146.0,38700
146.0,39000
144.0,39300
152.0,39600
142.0,39900
136.0,40200
164.0,40500
145.0,40800
134.0,41100
153.0,41400
150.0,41700
155.0,42000
151.0,42300
143.0,42600
147.0,42900
142.0,43200
147.0,43500
145.0,43800
153.0,44100
151.0,44400
155.0,44700
153.0,45000
151.0,45300
157.0,45600
152.0,45900
142.0,46200
150.0,46500
145.0,46800
142.0,47100
140.0,47400
149.0,47700
145.0,48000
155.0,48300
157.0,48600
155.0,48900
153.0,49200
144.0,49500
138.0,49800
